id,name,overview,tagline,first_air_date,vote_average,vote_count,popularity,original_language,status,type,number_of_seasons,number_of_episodes,networks,genres,production_companies,content_rating,top_cast,directors,writers,keywords
117581,Ginny & Georgia,"Angsty and awkward fifteen year old Ginny Miller often feels more mature than her thirty year old mother, the irresistible and dynamic Georgia Miller. After years on the run, Georgia desperately wants to put down roots in picturesque New England and give her family something they've never had... a normal life. But it's not all carpool and Kombucha as Georgia's past threatens her and her family's new way of life... and Georgia will do anything to protect her family.",Everything's just peachy.,2021-02-24,8.067,1633,182.6101,en,Returning Series,Scripted,3,30,['Netflix'],"['Comedy', 'Drama']","['Blue Ice Pictures', 'Dynamic Television']",,"['Antonia Gentry', 'Brianne Howey', 'Diesel La Torraca', 'Jennifer Robertson', 'Felix Mallard']",[],['Sarah Lampert'],"['femme fatale', 'romance', 'neighbor', 'female protagonist', 'motorcycle gang', 'childhood sexual abuse', 'town mayor', 'teen drama', 'dramedy', 'abuse', 'self-harm', 'abusive boyfriend', 'defraud', 'mother daughter relationship', 'abused woman', 'guns', 'high school drama', 'abused child', 'child sexual abuse']"
80805,The Epic Tales of Captain Underpants,Fourth-grade friends George and Harold have a shared love of pranks and comic books -- and turning their principal into an undies-wearing superhero.,,2018-07-13,7.5,66,153.4457,en,Ended,Scripted,3,39,['Netflix'],"['Comedy', 'Kids', 'Animation']",['DreamWorks Animation Television'],,"['Nat Faxon', 'Jay Gragnani', 'Ramone Hamilton', 'Sean Astin', 'Peter Hastings']",[],['Peter Hastings'],"['underwear', 'elementary school', 'alter ego', 'superhero', 'best friend', 'principal', 'baldness']"
64783,Dawn of the Croods,"The world's first family is back for more laughs as they discover sports, sleepovers and other wonders in a world of exotic creatures and adventures. This 2D animated cartoon is based on the 3D animated feature film, ""The Croods"".",,2015-12-24,7.4,95,103.7677,en,Ended,Scripted,4,89,['Netflix'],"['Animation', 'Family', 'Kids', 'Comedy', 'Action & Adventure']",['DreamWorks Animation Television'],,"['Dan Milano', 'Cree Summer', 'Stephanie Lemelin', 'A.J. LoCascio', 'Laraine Newman']",[],['Brendan Hay'],"['family relationships', 'prehistory', 'based on movie', 'ancient times']"
1424,Orange Is the New Black,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",Every sentence is a story.,2013-07-11,7.658,2613,87.8076,en,Ended,Scripted,7,91,['Netflix'],"['Comedy', 'Drama']","['Lionsgate Television', 'Tilted Productions']",,"['Taylor Schilling', 'Natasha Lyonne', 'Uzo Aduba', 'Danielle Brooks', 'Jackie Cruz']",[],[],"['prison', ""women's prison"", 'lesbian relationship', 'prison life']"
61222,BoJack Horseman,"Meet the most beloved sitcom horse of the '90s , 20 years later. He's a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",Don't look back. You're not going that way.,2014-08-22,8.545,2563,83.0742,en,Ended,Scripted,6,76,['Netflix'],"['Animation', 'Comedy', 'Drama']","['The Tornante Company', 'ShadowMachine', 'Boxer vs. Raptor']",,"['Will Arnett', 'Aaron Paul', 'Alison Brie', 'Amy Sedaris', 'Paul F. Tompkins']",[],"['Steven A. Cohen', 'Raphael Bob-Waksberg', 'Will Arnett', 'Aaron Paul', 'Noel Bright']","['drug abuse', 'show business', 'depression', 'nihilism', 'horse', 'cynicism', 'alcoholism', 'satire', 'adult humor', 'anthropomorphism', 'hollywood', 'adult animation', 'hollywood star', 'existentialism', 'sitcom', 'angry', 'philosophical', 'nihilist', 'ironic', 'inspirational', 'absurd', 'hilarious', 'depressing', 'callous', 'harsh', 'informative', 'tv comedies']"
77169,Cobra Kai,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",Back in the Valley. One final fight.,2018-05-02,8.213,6618,78.9398,en,Ended,Scripted,6,65,"['Netflix', 'YouTube Premium']","['Action & Adventure', 'Drama', 'Comedy']","['Hurwitz & Schlossberg Productions', 'Sony Pictures Television', 'Overbrook Entertainment']",,"['William Zabka', 'Ralph Macchio', 'Courtney Henggeler', 'Xolo Mariduena', 'Tanner Buchanan']",[],"['Hayden Schlossberg', 'James Lassiter', 'Will Smith', 'Josh Heald', 'Caleeb Pinkett', 'Susan Ekins', 'Jon Hurwitz']","['california', 'martial arts', 'karate', 'sensei', 'rivalry', 'dojo', 'martial artist', 'father figure', 'frenemies', 'father son relationship', 'absurd']"
4589,Arrested Development,"The story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",Someone had to get the family back together.,2003-11-02,7.929,1475,70.1031,en,Ended,Scripted,5,84,"['FOX', 'Netflix']",['Comedy'],"['Imagine Television Studios', 'The Hurwitz Company', '20th Century Fox Television', 'Dakota Pictures']",,"['Jason Bateman', 'Portia de Rossi', 'Will Arnett', 'Michael Cera', 'Alia Shawkat']",[],"['Ron Howard', 'Mitchell Hurwitz', 'Brian Grazer', 'David Nevins']","['prison', 'narration', 'dysfunctional family', 'family relationships', 'sexual humor', 'mockumentary', 'psychotic', 'fake documentary', 'orange county, california', 'sitcom']"
62320,Grace and Frankie,"Elegant, proper Grace and freewheeling, eccentric Frankie are a pair of frenemies whose lives are turned upside down - and permanently intertwined - when their husbands leave them for each other. Together, they must face starting over in their 70s in a 21st century world.",One more happy ending.,2015-05-08,7.7,335,69.2956,en,Ended,Scripted,7,94,['Netflix'],"['Comedy', 'Drama']",['Skydance Television'],,"['Jane Fonda', 'Lily Tomlin', 'Martin Sheen', 'Sam Waterston', 'June Diane Raphael']",[],['John Hoffman'],"['divorce', 'family', 'beach house', 'lgbt', 'elderly', 'frenemies', 'senescence']"
3796,Trailer Park Boys,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,There's a new world order at Sunnyvale Trailer Park.,2001-04-22,7.716,276,67.6965,en,Ended,Scripted,12,105,"['Showcase', 'Netflix']",['Comedy'],"['Sunnyvale Productions', 'Swearnet Pictures', 'Topsail Entertainment', 'Showcase Television']",,"['John Paul Tremblay', 'Robb Wells', 'Mike Smith', 'John Dunsworth', 'Patrick Roach']",[],[],"['trailer park', 'canada', 'white trash', 'dark comedy', 'marijuana', 'mockumentary', 'sitcom', 'playful', 'cheerful', 'comforting']"
66488,Chelsea,"It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style.",,2016-05-11,5.118,72,65.945,en,Canceled,Talk Show,2,120,['Netflix'],"['Talk', 'Comedy']",[],,['Chelsea Handler'],[],[],['adult humor']
